listing_id,neighborhood_impact_score,hotel_keywords_found,human_keywords_found
10009143,-1,0,3
1001232776784508975,0,2,2
1001866935188273365,0,0,2
1002269849703957666,0,0,0
10049291,0,2,2
1005600,-1,1,4
1005762461101659822,1,2,0
1005873863853480513,-1,1,4
1008708683137971277,0,0,0
1009118964193816022,0,0,0
1009310059681330533,0,1,2
1010977546029926854,0,1,1
1012292576113001046,0,0,0
1012788312298545060,0,0,1
1012993453903860298,0,0,0
1013023351532968605,0,0,0
1013024145346387920,0,0,1
1013115825016730727,0,0,0
1013659645152994081,0,1,1
1013664935529572389,0,2,2
1015800922233222203,0,0,2
1017416161602129006,0,0,0
10177415,0,2,4
1019645364025139380,0,0,1
1021704877608860038,0,0,0
1022407881661828925,0,0,1
1023207522070718483,0,0,0
1023791837568644069,0,0,0
1024597009841108266,1,3,0
1025922829289692460,0,0,0
1025964215767534118,0,0,1
1026489070081004269,0,3,4
10266213,1,1,0
1027461491324100202,0,1,2
1028814088239041528,0,0,0
1029117835809026377,-1,1,4
1030109993536044419,0,0,0
1030369378969675444,0,0,0
1030615640515693564,0,0,0
1031252878520984970,1,3,2
10315266,0,1,1
1031664089096073526,0,0,0
1032641348296998047,0,0,0
10330977,0,0,2
1033352030577062675,0,0,1
1034077814080223978,-1,0,4
1034524563813498795,-1,0,3
1034596285332768623,-1,0,3
1034610323502867679,0,0,2
1034623474259913011,0,0,2
1034726446352230360,0,0,1
1034745763294719104,0,0,0
1035313527546805315,0,1,1
1035435824192866875,0,0,1
1035494887098421006,0,0,0
1036026734293910313,0,0,0
1036027015239575544,0,1,2
1036684,0,0,1
1036769097515599836,0,0,2
1038293185528734950,0,0,0
1038439029696376389,-1,0,3
1039067948234576204,-1,1,4
1039135363214852772,0,3,5
1039257971213108347,0,0,0
1039842969340429933,0,1,2
1039849322865945351,0,1,1
1041419403124899430,1,1,0
1041777551138643116,0,0,1
1043470265526890636,-1,0,4
1044778922265736646,1,1,0
10461161,0,0,1
1046176578472570763,0,0,0
1046876062059542149,0,0,1
1046998637855388513,1,2,1
1047061871850465132,0,0,0
1048409752241799525,0,1,2
1048573595137799419,0,0,2
1049259275902344573,0,0,0
1049833261720974389,0,1,1
1050509062942906341,0,0,1
1051310623609923800,0,1,2
1052202590499595067,0,2,3
1052704096731889488,0,0,0
10534837,0,0,2
1054173138786710095,0,1,1
1054350979456328754,0,0,0
1054536939530012956,0,1,2
1055052159721471431,0,0,0
1055071714989725297,-1,0,4
1055095228936782097,0,0,0
1057854,-1,2,6
1059605941818495141,0,0,0
1060076206364819456,1,1,0
1060674457719973419,0,0,0
1060798762872788178,0,0,0
1061374652986152066,0,0,2
1061427710674610309,0,2,2
1063872035868113541,0,0,1
1064979033175941054,0,0,1
1065576834159517742,0,0,0
1066083933546044606,0,1,1
1066689393962355267,0,0,0
1067336010480938571,0,0,2
1068858031561879193,0,0,0
1069404020425415356,0,0,1
1069575562185159114,0,0,0
1069645539875141665,0,1,1
1069678753483886804,0,0,0
1070029789759866361,1,1,0
1071671215504124976,0,0,2
1071844015695678679,0,0,0
1073894409940916009,1,1,0
1073904239433165476,0,0,2
1075050108575147178,1,3,0
1075131325801330905,0,0,0
1075230796237995439,0,0,0
1075447205609755444,1,1,0
1075949095616845448,0,0,2
1076604320416650284,-1,1,4
1077224115182195307,1,2,1
1077224116223694415,0,2,2
1077225131639147183,0,1,3
1077225134109396230,0,0,2
1077360690249409720,0,0,0
1077400280648582586,0,0,1
10777269,-1,2,5
1079508410591111395,0,0,0
1079541192783426742,0,0,0
1079697904364918956,0,0,0
1079726489035058170,0,0,0
1080382468646501348,1,1,0
1080405047590938819,0,0,1
1080943945230018972,0,3,3
1081206585861772315,0,0,0
1081771591323731195,-1,1,4
1081813751193630793,-1,0,4
1081840073652296121,0,1,1
1084577806349336868,0,1,1
1084691456608967724,0,0,0
1084692418761490545,0,0,1
1085011309361359514,0,0,0
108591,0,0,1
1085995486018966342,0,1,2
1086149610583406203,0,0,0
1086180309832086366,0,1,1
1086262606512645300,0,0,0
1086825919023277220,0,0,1
1087511455839862434,0,0,0
1088159693972512718,0,0,0
1088309266624697283,0,0,0
1089853229772546496,0,0,0
1090393348409889807,0,0,0
1090502646283750434,0,0,0
1091060898252291023,0,0,0
1091146348800919851,1,2,0
1091206448928687507,0,0,1
1091961025280792346,0,0,1
1091969183545800925,0,0,1
1092614358419532028,0,0,0
1092688726020794437,0,1,3
1092692102948434736,0,1,2
10930100,0,0,0
1093249846373104640,0,0,0
1093498347774068091,-1,1,5
1093550386830026906,0,1,1
1094229067514322476,0,0,0
1094744579254432669,0,0,1
1094828926308971994,1,3,1
1095495869394400869,0,0,0
1095563376866374359,1,1,0
1095695714184754577,0,2,3
1096216965644032872,0,0,0
1096369771659673108,0,0,0
1096390902789429201,1,1,0
1096859093083551158,-1,0,3
1097011566946292194,0,0,0
1097063377390040738,0,0,0
1097063945595455948,0,0,0
1097082117619041856,0,0,0
1097100609509700248,0,0,0
1097206089981919957,0,0,1
1097679906813764120,0,0,0
1097714160320609203,0,0,0
1097780207217510222,1,3,1
1097807479304192178,1,1,0
1098334585944218669,0,1,3
1098586078865488314,0,0,0
1099929305327564238,0,0,2
1100112879555144600,0,0,0
1101310060020360515,0,0,0
1101420573080360866,0,0,0
1101955138896595445,1,3,1
1101960142595840567,0,0,0
1102142209147876474,-1,0,6
1102833247341610220,0,0,0
1103504941778909972,-1,0,4
1103682292524786238,0,0,1
1103709297667185099,0,0,0
1104428448503252772,0,0,0
1104874052958713091,0,0,0
1104916855698242359,0,0,0
1105120692958247742,0,0,0
1105568784351773025,0,0,0
1105622312713677465,0,0,0
1106640152162745294,0,1,3
1107010504468653469,1,1,0
1107030330779079987,0,0,0
1107099540749135658,1,2,0
11076926,0,3,3
1109549278916637715,0,0,0
1109976559167994601,0,0,1
1110123618867632155,0,0,0
1110134071929494121,0,0,0
1110671736459410782,0,0,1
1110719130935045505,0,0,0
1110762293025389007,0,0,0
1110767167391585520,0,0,0
1110869925924846383,1,2,0
1111383123691276092,0,0,1
1112246090911377189,0,1,3
1113274113701520879,0,0,0
1113609097090241355,1,1,0
1114528900637267753,0,1,3
1114776999725629053,0,1,1
1115659465905456941,0,0,0
1115708306630810696,0,0,1
1115888924908019654,0,0,0
1116398967825571976,0,1,3
1117364618421346339,1,1,0
1117903621857826944,1,2,1
1117983887034368037,0,0,0
